data,fin_alvo,fin_fora,gols
2020-03-04,4,5,2
2020-03-11,8,2,3
2020-09-17,2,3,0
2020-09-22,6,1,2
2020-09-30,8,4,4
2020-10-21,5,8,3
2020-11-24,3,2,1
2020-12-01,5,7,1
