data,fin_alvo,fin_fora,gols
2023-04-05,5,3,1
2023-04-19,6,5,2
2023-05-04,1,6,1
2023-05-24,3,1,1
2023-06-08,3,3,2
2023-06-28,9,9,4
2023-08-03,5,6,1
2023-08-10,3,1,1
