data,fin_alvo,fin_fora,gols
2022-04-05,4,3,2
2022-04-12,7,3,3
2022-04-28,7,7,3
2022-05-04,3,1,2
2022-05-17,8,10,3
2022-05-24,6,13,2
2022-06-29,2,3,1
2022-07-06,13,2,7
2022-08-02,5,6,2
2022-08-09,4,8,1
2022-08-31,10,3,4
2022-09-07,5,10,2
2022-10-29,4,5,1
