data,fin_alvo,fin_fora,gols
2019-03-05,7,6,1
2019-03-13,6,5,3
2019-04-03,2,4,0
2019-04-11,13,9,6
2019-04-24,5,1,1
2019-05-08,4,6,0
2019-07-24,2,7,0
2019-07-31,4,8,2
2019-08-21,8,0,2
2019-08-28,7,3,1
2019-10-02,2,5,1
2019-10-09,10,5,5
2019-11-23,5,5,2
